original_paragraph,transformed_paragraph,transformation_type,similarity_score,same_meaning
The executive chef coordinated the publishing schedule using data-driven analysis. The publishing house released a white paper through collaborative decision-making. The final report received positive feedback.,The publishing house released a white paper through collaborative decision-making. The final report received positive feedback. The executive chef coordinated the publishing schedule using data-driven analysis.,sentence_reorder,0.605,True
"During a community forum, The logistics provider completed a white paper while meeting compliance standards. The operations staff redesigned a fundraiser under tight deadlines. The initiative delivered measurable benefits.","During a community forum, The logistics provider completed a white paper while meeting compliance standards. The operations staff redesigned a fundraiser under tight deadlines. The initiative delivered measurable benefits.",paragraph_pronoun_change,1.0,True
"During the board meeting, The keynote speaker launched a clinical trial while meeting compliance standards. The professor optimized a new campaign with reliable tracking systems. Stakeholders praised the final delivery.","During the board meeting, The main presenter launched a clinical trial while meeting compliance standards. The professor optimized a new campaign with reliable tracking systems. Stakeholders praised the final delivery.",phrase_level_rewrite,0.943,True
"The The automotive manufacturer launched a white paper after careful review, and The outreach team coordinated a seasonal menu while meeting compliance standards. The results improved overall performance.","The The automotive manufacturer launched a white paper after careful review, and The outreach team coordinated a seasonal menu while meeting compliance standards. The results improved overall performance.",human_like_rewrite,1.0,True
"The bank monitored a white paper under tight deadlines. The publishing house released the power lines to improve operational efficiency, and The development team optimized electric vehicles with an expanded support network. The results improved overall performance.","The bank monitored a white paper under tight deadlines. The publishing house released the power lines to improve operational efficiency, and The development team optimized electric vehicles with an expanded support network. The outcomes improved overall performance.",formal_rewrite,0.976,True
The service crew launched the regulatory submission with expert guidance. The keynote speaker organized an eco-friendly housing project while meeting compliance standards. The implementation received widespread acclaim.,The keynote speaker organized an eco-friendly housing project while meeting compliance standards. The implementation received widespread acclaim. The service crew launched the regulatory submission with expert guidance.,sentence_reorder,0.662,True
"The operations staff monitored electric vehicles supported by cross-functional teams. The outreach team presented a seasonal menu to improve customer satisfaction, and The facilities team prepared the power lines through an inclusive planning process. The results improved overall performance.","The operations staff monitored electric vehicles supported by cross-functional teams. The outreach team presented a seasonal menu to improve customer satisfaction, and The facilities team prepared the power lines through an inclusive planning process. The results improved overall performance.",paragraph_pronoun_change,1.0,True
"The The professor released electric vehicles while preserving the budget, and The publishing house approved a white paper through an inclusive planning process. The project demonstrated clear value.","The The professor released electric vehicles while preserving the budget, and The publishing house approved a white paper through an inclusive planning process. The project demonstrated clear value.",phrase_level_rewrite,1.0,True
"The health clinic completed a fundraiser supported by cross-functional teams. The outreach team finalized an eco-friendly housing project through collaborative decision-making, and Our marketing department scheduled the storefront layout after careful review. The project demonstrated clear value.","The health clinic completed a fundraiser supported by cross-functional teams. The outreach team finalized an eco-friendly housing project through collaborative decision-making, and Our marketing department scheduled the storefront layout after careful review. The project demonstrated clear value.",human_like_rewrite,1.0,True
"The The research team introduced an eco-friendly housing project with expert guidance, and The city council presented the regulatory submission to enhance public trust. The final report received positive feedback.","The The research team introduced an eco-friendly housing initiative with expert guidance, and The city council presented the regulatory submission to enhance public trust. The final report received positive response.",formal_rewrite,0.923,True
"During the emergency meeting, The legal team launched an eco-friendly housing project after careful review. Our marketing department redesigned the publishing schedule after careful review. The implementation received widespread acclaim.","Our marketing department redesigned the publishing schedule after careful review. The implementation received widespread acclaim. During the emergency meeting, The legal team launched an eco-friendly housing project after careful review.",sentence_reorder,0.19,True
"During the board meeting, The logistics provider conducted the power lines with reliable tracking systems. The hotel manager assigned a fundraiser with strong community support. The team achieved a strong outcome.","During the board meeting, The logistics provider conducted the power lines with reliable tracking systems. The hotel manager assigned a fundraiser with strong community support. The team achieved a strong outcome.",paragraph_pronoun_change,1.0,True
"During the product launch, The hotel manager reviewed a green space project with a strong communications plan. The health clinic monitored an application upgrade supported by cross-functional teams. The project demonstrated clear value.","During the product launch, The property manager reviewed a community park initiative with a strong communications plan. The health clinic monitored an application upgrade supported by cross-functional teams. The project demonstrated clear value.",phrase_level_rewrite,0.881,True
"A university research group finalized the power lines with measurable performance goals. The retail team prepared the power lines while preserving the budget, and The bank introduced an eco-friendly housing project using local resources. Stakeholders praised the final delivery.","A university research group finalized the power lines with measurable performance goals. The retail team prepared the power lines while preserving the budget, and The bank introduced an eco-friendly housing project using local resources. Stakeholders praised the final delivery.",human_like_rewrite,1.0,True
"The The nonprofit completed a clinical trial supported by cross-functional teams, and The health clinic finalized the power lines with expert guidance. The outcome exceeded expectations.","The The nonprofit completed a clinical trial supported by cross-functional teams, and The health clinic finalized the power lines with expert guidance. The outcome exceeded expectations.",formal_rewrite,1.0,True
"The nonprofit scheduled the publishing schedule with sustainability goals. The keynote speaker finalized shipment routes through an inclusive planning process, and The service crew prepared electric vehicles with a strong communications plan. The initiative delivered measurable benefits.","The keynote speaker finalized shipment routes through an inclusive planning process, and The service crew prepared electric vehicles with a strong communications plan. The initiative delivered measurable benefits. The nonprofit scheduled the publishing schedule with sustainability goals.",sentence_reorder,0.111,True
"The logistics provider optimized the power lines with reliable tracking systems. The nonprofit maintained a new campaign using local resources, and The development team tested an eco-friendly housing project using data-driven analysis. The outcome exceeded expectations.","The logistics provider optimized the power lines with reliable tracking systems. The nonprofit maintained a new campaign using local resources, and The development team tested an eco-friendly housing project using data-driven analysis. The outcome exceeded expectations.",paragraph_pronoun_change,1.0,True
"During the editorial review, The publishing house assigned a wellness program using data-driven analysis. The hotel manager optimized the power lines with sustainability goals. The effort strengthened long-term relationships.","During the editorial review, The publishing house assigned a wellness program using data-driven analysis. The property manager optimized the power lines with sustainability goals. The effort strengthened long-term relationships.",phrase_level_rewrite,0.971,True
"During the editorial review, The executive chef scheduled the acquisition documents with strong community support. The training team monitored electric vehicles using data-driven analysis. This approach set a new standard.","During the editorial review, The executive chef scheduled the acquisition documents with strong community support. The training team monitored electric vehicles using data-driven analysis. The following approach set a new standard.",human_like_rewrite,0.971,True
The service crew released a research study using data-driven analysis. The training team completed the publishing schedule through an inclusive planning process. This approach set a new standard.,The service crew released a research study using data-driven analysis. The training team completed the publishing schedule through an inclusive planning process. This approach set a new standard.,formal_rewrite,1.0,True
"The The construction crew approved the storefront layout through an inclusive planning process, and The outreach team released a leadership seminar with a strong communications plan. The outcome exceeded expectations.","The outcome exceeded expectations. The The construction crew approved the storefront layout through an inclusive planning process, and The outreach team released a leadership seminar with a strong communications plan.",sentence_reorder,0.839,True
"The The service crew conducted a seasonal menu with a strong communications plan, and The service crew tested a clinical trial with reliable tracking systems. The team achieved a strong outcome.","The The service crew conducted a seasonal menu with a strong communications plan, and The service crew tested a clinical trial with reliable tracking systems. The team achieved a strong outcome.",paragraph_pronoun_change,1.0,True
"The The legal team maintained the power lines with measurable performance goals, and The professor approved a research study while meeting compliance standards. The team achieved a strong outcome.","The The legal team maintained the power lines with measurable performance goals, and The professor approved a research study while meeting compliance standards. The team achieved a strong outcome.",phrase_level_rewrite,1.0,True
"The clinical team approved a fundraiser with an expanded support network. The editorial board tested an application upgrade under tight deadlines, and The logistics provider finalized the publishing schedule under tight deadlines. The implementation received widespread acclaim.","The clinical team approved a fundraiser with an expanded support network. The editorial board tested an application upgrade under tight deadlines, and The logistics provider finalized the publishing schedule under tight deadlines. The implementation received widespread acclaim.",human_like_rewrite,1.0,True
The logistics provider presented a wellness program to improve customer satisfaction. The facilities team tested a leadership seminar with measurable performance goals. Stakeholders praised the final delivery.,The logistics provider presented a wellness program to improve customer satisfaction. The facilities team tested a leadership seminar with measurable performance objectives. Stakeholders praised the final delivery.,formal_rewrite,0.969,True
"The The professor organized electric vehicles with expert guidance, and The professor organized a research study supported by cross-functional teams. Stakeholders praised the final delivery.","Stakeholders praised the final delivery. The The professor organized electric vehicles with expert guidance, and The professor organized a research study supported by cross-functional teams.",sentence_reorder,0.784,True
"During the software deployment, The research team conducted a fundraiser with strong community support. The automotive manufacturer redesigned the storefront layout to enhance public trust. Stakeholders praised the final delivery.","During the software deployment, The research team conducted a fundraiser with strong community support. The automotive manufacturer redesigned the storefront layout to enhance public trust. Stakeholders praised the final delivery.",paragraph_pronoun_change,1.0,True
"During the annual review, The publishing house introduced electric vehicles using data-driven analysis. The operations staff presented a fundraiser using local resources. The team achieved a strong outcome.","During the annual review, The publishing house introduced electric vehicles using data-driven analysis. The operations staff presented a benefit event using local resources. The team achieved a strong outcome.",phrase_level_rewrite,0.949,True
"During the annual review, The outreach team scheduled a fundraiser supported by cross-functional teams. The research team monitored a new campaign supported by cross-functional teams. This approach set a new standard.","During the annual review, The outreach team scheduled a fundraiser supported by cross-functional teams. The research team monitored a new campaign supported by cross-functional teams. The following approach set a new standard.",human_like_rewrite,0.971,True
"During the emergency meeting, The service crew coordinated a new campaign after careful review. The legal team tested the acquisition documents to improve operational efficiency. The final report received positive feedback.","During the emergency meeting, The service crew coordinated a new campaign after careful review. The legal team tested the acquisition documents to improve operational efficiency. The final report received positive response.",formal_rewrite,0.964,True
The service crew completed a green space project with strong community support. The automotive manufacturer introduced a white paper to improve operational efficiency. The final report received positive feedback.,The automotive manufacturer introduced a white paper to improve operational efficiency. The final report received positive feedback. The service crew completed a green space project with strong community support.,sentence_reorder,0.623,True
"The editorial board approved electric vehicles supported by cross-functional teams. The training team coordinated an eco-friendly housing project with expert guidance, and The executive chef assigned the acquisition documents using data-driven analysis. This approach set a new standard.","The editorial board approved electric vehicles supported by cross-functional teams. The training team coordinated an eco-friendly housing project with expert guidance, and The executive chef assigned the acquisition documents using data-driven analysis. This approach set a new standard.",paragraph_pronoun_change,1.0,True
"The automotive manufacturer introduced an application upgrade using local resources. The health clinic released a research study with strong community support, and The automotive manufacturer assigned electric vehicles to improve operational efficiency. This approach set a new standard.","The automotive manufacturer introduced an application upgrade using local resources. The health clinic released a research study with strong community support, and The automotive manufacturer assigned electric vehicles to improve operational efficiency. This approach set a new standard.",phrase_level_rewrite,1.0,True
"The The development team launched the storefront layout using data-driven analysis, and The editorial board prepared a new campaign through collaborative decision-making. The implementation received widespread acclaim.","The The development team launched the storefront layout using data-driven analysis, and The editorial board prepared a new campaign through collaborative decision-making. The implementation received widespread acclaim.",human_like_rewrite,1.0,True
The training team optimized an application upgrade under tight deadlines. The publishing house finalized a clinical trial through an inclusive planning process. The results improved overall performance.,The training team optimized an application upgrade under tight deadlines. The publishing house finalized a clinical trial through an inclusive planning process. The outcomes improved overall performance.,formal_rewrite,0.968,True
"During the product launch, The bank monitored a seasonal menu while preserving the budget. The research team maintained a clinical trial with reliable tracking systems. The effort strengthened long-term relationships.","The research team maintained a clinical trial with reliable tracking systems. The effort strengthened long-term relationships. During the product launch, The bank monitored a seasonal menu while preserving the budget.",sentence_reorder,0.581,True
The bank scheduled the power lines with reliable tracking systems. The legal team introduced a white paper through an inclusive planning process. The initiative delivered measurable benefits.,The bank scheduled the power lines with reliable tracking systems. The legal team introduced a white paper through an inclusive planning process. The initiative delivered measurable benefits.,paragraph_pronoun_change,1.0,True
"During the emergency meeting, The service crew organized a leadership seminar with reliable tracking systems. The professor redesigned an eco-friendly housing project to improve operational efficiency. The project demonstrated clear value.","During the emergency meeting, The maintenance team organized a leadership seminar with reliable tracking systems. The professor redesigned an eco-friendly housing project to improve operational efficiency. The project demonstrated clear value.",phrase_level_rewrite,0.191,True
The clinical team monitored shipment routes after careful review. A university research group maintained an eco-friendly housing project with measurable performance goals. This approach set a new standard.,The clinical team monitored shipment routes after careful review. A university research group maintained an eco-friendly housing project with measurable performance goals. The following approach set a new standard.,human_like_rewrite,0.969,True
The automotive manufacturer released a major report through an inclusive planning process. The construction crew assigned a seasonal menu with strong community support. The implementation received widespread acclaim.,The automotive manufacturer released a major report through an inclusive planning process. The construction crew assigned a seasonal menu with strong community support. The implementation received widespread acclaim.,formal_rewrite,1.0,True
The executive chef redesigned the storefront layout using data-driven analysis. The training team maintained a wellness program through an inclusive planning process. The results improved overall performance.,The training team maintained a wellness program through an inclusive planning process. The results improved overall performance. The executive chef redesigned the storefront layout using data-driven analysis.,sentence_reorder,0.38,True
The city council approved the storefront layout using local resources. The city council scheduled a clinical trial with minimal disruption. The initiative delivered measurable benefits.,The city council approved the storefront layout using local resources. The city council scheduled a clinical trial with minimal disruption. The initiative delivered measurable benefits.,paragraph_pronoun_change,1.0,True
"The The editorial board presented the publishing schedule through collaborative decision-making, and The logistics provider organized a leadership seminar to improve customer satisfaction. The final report received positive feedback.","The The editorial board presented the publishing schedule through collaborative decision-making, and The logistics provider organized a leadership seminar to improve customer satisfaction. The final report received positive feedback.",phrase_level_rewrite,1.0,True
"The The outreach team maintained a software update with sustainability goals, and The nonprofit optimized the storefront layout supported by cross-functional teams. The implementation received widespread acclaim.","The The outreach team maintained a software update with sustainability goals, and The nonprofit optimized the storefront layout supported by cross-functional teams. The implementation received widespread acclaim.",human_like_rewrite,1.0,True
"During the client briefing, The outreach team scheduled a wellness program to enhance public trust. The outreach team emphasized the acquisition documents with reliable tracking systems. The implementation received widespread acclaim.","During the client briefing, The outreach team scheduled a wellness program to enhance public trust. The outreach team emphasized the acquisition documents with reliable tracking systems. The implementation received widespread acclaim.",formal_rewrite,1.0,True
"During the board meeting, The clinical team organized a new campaign with sustainability goals. The retail team tested an eco-friendly housing project through collaborative decision-making. The initiative delivered measurable benefits.","The retail team tested an eco-friendly housing project through collaborative decision-making. The initiative delivered measurable benefits. During the board meeting, The clinical team organized a new campaign with sustainability goals.",sentence_reorder,0.591,True
"During the emergency meeting, The logistics provider conducted a white paper using local resources. The automotive manufacturer scheduled a clinical trial while preserving the budget. The initiative delivered measurable benefits.","During the emergency meeting, The logistics provider conducted a white paper using local resources. The automotive manufacturer scheduled a clinical trial while preserving the budget. The initiative delivered measurable benefits.",paragraph_pronoun_change,1.0,True
"The logistics provider completed the publishing schedule to enhance public trust. The service crew redesigned a white paper supported by cross-functional teams, and The legal team presented a green space project to enhance public trust. The project demonstrated clear value.","The logistics provider completed the publishing schedule to enhance public trust. The maintenance team redesigned a white paper supported by cross-functional teams, and The legal team presented a community park initiative to enhance public trust. The project demonstrated clear value.",phrase_level_rewrite,0.685,True
"The bank scheduled a major report with expert guidance. The facilities team released the publishing schedule to improve customer satisfaction, and The hotel manager scheduled the power lines through collaborative decision-making. The outcome exceeded expectations.","The bank scheduled a major report with expert guidance. The facilities team released the publishing schedule to improve customer satisfaction, and The hotel manager scheduled the power lines through collaborative decision-making. The outcome exceeded expectations.",human_like_rewrite,1.0,True
The professor organized an application upgrade through collaborative decision-making. The editorial board approved a major report with expert guidance. The outcome exceeded expectations.,The professor organized an application upgrade through collaborative decision-making. The editorial board approved a major report with expert guidance. The outcome exceeded expectations.,formal_rewrite,1.0,True
"During the client briefing, The bank introduced a research study with strong community support. The professor coordinated an application upgrade with a strong communications plan. The results improved overall performance.","The professor coordinated an application upgrade with a strong communications plan. The results improved overall performance. During the client briefing, The bank introduced a research study with strong community support.",sentence_reorder,0.43,True
"The bank maintained the power lines using local resources. The retail team finalized a leadership seminar with expert guidance, and The retail team finalized the power lines to improve operational efficiency. This approach set a new standard.","The bank maintained the power lines using local resources. The retail team finalized a leadership seminar with expert guidance, and The retail team finalized the power lines to improve operational efficiency. This approach set a new standard.",paragraph_pronoun_change,1.0,True
"During the editorial review, The publishing house redesigned a software update with minimal disruption. The service crew presented the regulatory submission under tight deadlines. The initiative delivered measurable benefits.","During the editorial review, The publishing house redesigned a system release with minimal disruption. The maintenance team presented the regulatory submission under tight deadlines. The initiative delivered measurable benefits.",phrase_level_rewrite,0.291,True
"The legal team completed the publishing schedule to improve operational efficiency. The hotel manager released a wellness program using local resources, and The executive chef approved a new campaign with reliable tracking systems. The project demonstrated clear value.","The legal team completed the publishing schedule to improve operational efficiency. The hotel manager released a wellness program using local resources, and The executive chef approved a new campaign with reliable tracking systems. The project demonstrated clear value.",human_like_rewrite,1.0,True
"During a community forum, The service crew coordinated a software update with strong community support. The editorial board completed an eco-friendly housing project with a strong communications plan. The team achieved a strong outcome.","During a community forum, The service crew coordinated a software update with strong community support. The editorial board completed an eco-friendly housing initiative with a strong communications plan. The team achieved a strong outcome.",formal_rewrite,0.964,True
"During the annual review, The clinical team redesigned electric vehicles to improve operational efficiency. Our marketing department released a wellness program while meeting compliance standards. The results improved overall performance.","Our marketing department released a wellness program while meeting compliance standards. The results improved overall performance. During the annual review, The clinical team redesigned electric vehicles to improve operational efficiency.",sentence_reorder,0.45,True
"The The automotive manufacturer emphasized the publishing schedule with minimal disruption, and A university research group assigned shipment routes to improve operational efficiency. The effort strengthened long-term relationships.","The The automotive manufacturer emphasized the publishing schedule with minimal disruption, and A university research group assigned shipment routes to improve operational efficiency. The effort strengthened long-term relationships.",paragraph_pronoun_change,1.0,True
"The The training team introduced a seasonal menu with measurable performance goals, and The health clinic finalized shipment routes with expert guidance. The final report received positive feedback.","The The training team introduced a spring menu with measurable performance goals, and The health clinic finalized shipment routes with expert guidance. The final report received positive feedback.",phrase_level_rewrite,0.975,True
"During a community forum, The legal team emphasized a new campaign with minimal disruption. The construction crew prepared a major report using local resources. The implementation received widespread acclaim.","During a community forum, The legal team emphasized a new campaign with minimal disruption. The construction crew prepared a major report using local resources. The implementation received widespread acclaim.",human_like_rewrite,1.0,True
"The development team reviewed a software update while meeting compliance standards. The professor optimized electric vehicles supported by cross-functional teams, and The training team tested a software update to enhance public trust. Stakeholders praised the final delivery.","The development team reviewed a software update while meeting compliance standards. The professor optimized electric vehicles supported by cross-functional teams, and The training team tested a software update to enhance public trust. Stakeholders praised the final delivery.",formal_rewrite,1.0,True
"During the product launch, The legal team reviewed a clinical trial after careful review. The executive chef finalized electric vehicles under tight deadlines. The team achieved a strong outcome.","The executive chef finalized electric vehicles under tight deadlines. The team achieved a strong outcome. During the product launch, The legal team reviewed a clinical trial after careful review.",sentence_reorder,0.538,True
"During the policy rollout, The executive chef scheduled a green space project to enhance public trust. The outreach team launched a research study with minimal disruption. The results improved overall performance.","During the policy rollout, The executive chef scheduled a green space project to enhance public trust. The outreach team launched a research study with minimal disruption. The results improved overall performance.",paragraph_pronoun_change,1.0,True
The publishing house launched the storefront layout with expert guidance. The logistics provider released the regulatory submission supported by cross-functional teams. This approach set a new standard.,The publishing house launched the storefront layout with expert guidance. The logistics provider released the regulatory submission supported by cross-functional teams. This approach set a new standard.,phrase_level_rewrite,1.0,True
"The facilities team reviewed a seasonal menu with strong community support. The legal team prepared a seasonal menu supported by cross-functional teams, and The retail team launched electric vehicles with strong community support. The results improved overall performance.","The facilities team reviewed a seasonal menu with strong community support. The legal team prepared a seasonal menu supported by cross-functional teams, and The retail team launched electric vehicles with strong community support. The results improved overall performance.",human_like_rewrite,1.0,True
"During the software deployment, The professor optimized the acquisition documents with measurable performance goals. The training team released the publishing schedule to enhance public trust. The final report received positive feedback.","During the software deployment, The professor optimized the acquisition documents with measurable performance objectives. The training team released the publishing schedule to enhance public trust. The final report received positive response.",formal_rewrite,0.493,True
"The The service crew presented a green space project to improve customer satisfaction, and The facilities team released the publishing schedule under tight deadlines. The effort strengthened long-term relationships.","The effort strengthened long-term relationships. The The service crew presented a green space project to improve customer satisfaction, and The facilities team released the publishing schedule under tight deadlines.",sentence_reorder,0.772,True
"The The research team optimized a green space project with reliable tracking systems, and The professor prepared a green space project with sustainability goals. The team achieved a strong outcome.","The The research team optimized a green space project with reliable tracking systems, and The professor prepared a green space project with sustainability goals. The team achieved a strong outcome.",paragraph_pronoun_change,1.0,True
"The The research team finalized a clinical trial with measurable performance goals, and The service crew prepared a leadership seminar with measurable performance goals. The project demonstrated clear value.","The The research team finalized a clinical trial with measurable performance goals, and The maintenance team prepared a leadership seminar with measurable performance goals. The project demonstrated clear value.",phrase_level_rewrite,0.455,True
"The The bank completed electric vehicles under tight deadlines, and The operations staff redesigned the acquisition documents supported by cross-functional teams. The project demonstrated clear value.","The The bank completed electric vehicles under tight deadlines, and The operations staff redesigned the acquisition documents supported by cross-functional teams. The project demonstrated clear value.",human_like_rewrite,1.0,True
The operations staff launched an application upgrade while meeting compliance standards. The editorial board emphasized a research study with reliable tracking systems. The project demonstrated clear value.,The operations personnel launched an application upgrade while meeting compliance standards. The editorial board emphasized a research study with reliable tracking systems. The initiative demonstrated clear value.,formal_rewrite,0.831,True
The facilities team reviewed the storefront layout with a strong communications plan. The operations staff reviewed an eco-friendly housing project with minimal disruption. The initiative delivered measurable benefits.,The operations staff reviewed an eco-friendly housing project with minimal disruption. The initiative delivered measurable benefits. The facilities team reviewed the storefront layout with a strong communications plan.,sentence_reorder,0.096,True
"The retail team prepared a leadership seminar with measurable performance goals. The training team presented shipment routes through an inclusive planning process, and The professor scheduled an eco-friendly housing project supported by cross-functional teams. The initiative delivered measurable benefits.","The retail team prepared a leadership seminar with measurable performance goals. The training team presented shipment routes through an inclusive planning process, and The professor scheduled an eco-friendly housing project supported by cross-functional teams. The initiative delivered measurable benefits.",paragraph_pronoun_change,1.0,True
"The The development team conducted a leadership seminar while preserving the budget, and The bank presented the acquisition documents while meeting compliance standards. The final report received positive feedback.","The The engineering staff conducted a leadership seminar while preserving the budget, and The bank presented the acquisition documents while meeting compliance standards. The final report received positive feedback.",phrase_level_rewrite,0.923,True
"The The publishing house optimized a leadership seminar using local resources, and The outreach team conducted electric vehicles while meeting compliance standards. The team achieved a strong outcome.","The The publishing house optimized a leadership seminar using local resources, and The outreach team conducted electric vehicles while meeting compliance standards. The team achieved a strong outcome.",human_like_rewrite,1.0,True
The hotel manager coordinated a wellness program to enhance public trust. A university research group tested shipment routes after careful review. Stakeholders praised the final delivery.,The hotel manager coordinated a wellness program to enhance public trust. A university research group tested shipment routes after careful review. Stakeholders praised the final delivery.,formal_rewrite,1.0,True
The operations staff assigned a fundraiser under tight deadlines. The automotive manufacturer completed an application upgrade with an expanded support network. The results improved overall performance.,The automotive manufacturer completed an application upgrade with an expanded support network. The results improved overall performance. The operations staff assigned a fundraiser under tight deadlines.,sentence_reorder,0.673,True
"The development team launched a green space project with reliable tracking systems. The service crew reviewed the publishing schedule while preserving the budget, and The legal team presented a fundraiser with an expanded support network. The initiative delivered measurable benefits.","The development team launched a green space project with reliable tracking systems. The service crew reviewed the publishing schedule while preserving the budget, and The legal team presented a fundraiser with an expanded support network. The initiative delivered measurable benefits.",paragraph_pronoun_change,1.0,True
"The The nonprofit scheduled electric vehicles supported by cross-functional teams, and The development team reviewed a major report with measurable performance goals. The implementation received widespread acclaim.","The The nonprofit scheduled electric vehicles supported by cross-functional teams, and The engineering staff reviewed a major report with measurable performance goals. The implementation received widespread acclaim.",phrase_level_rewrite,0.448,True
"The The service crew conducted the acquisition documents to enhance public trust, and The keynote speaker completed a green space project after careful review. The project demonstrated clear value.","The The service crew conducted the acquisition documents to enhance public trust, and The keynote speaker completed a green space project after careful review. The project demonstrated clear value.",human_like_rewrite,1.0,True
"The The professor assigned electric vehicles with measurable performance goals, and The retail team scheduled a seasonal menu through collaborative decision-making. The initiative delivered measurable benefits.","The The professor assigned electric vehicles with measurable performance objectives, and The retail team scheduled a seasonal menu through collaborative decision-making. The initiative delivered measurable benefits.",formal_rewrite,0.969,True
"The The publishing house monitored a fundraiser with sustainability goals, and The executive chef completed an application upgrade to enhance public trust. The implementation received widespread acclaim.","The implementation received widespread acclaim. The The publishing house monitored a fundraiser with sustainability goals, and The executive chef completed an application upgrade to enhance public trust.",sentence_reorder,0.764,True
"The construction crew optimized the power lines while meeting compliance standards. The legal team released a fundraiser to enhance public trust, and Our marketing department optimized a wellness program using data-driven analysis. Stakeholders praised the final delivery.","The construction crew optimized the power lines while meeting compliance standards. The legal team released a fundraiser to enhance public trust, and their marketing department optimized a wellness program using data-driven analysis. Stakeholders praised the final delivery.",paragraph_pronoun_change,0.989,True
"The legal team approved shipment routes through an inclusive planning process. The clinical team prepared a research study to enhance public trust, and The operations staff redesigned shipment routes with measurable performance goals. The final report received positive feedback.","The legal team approved shipment routes through an inclusive planning process. The clinical team prepared a research study to enhance public trust, and The operations staff redesigned shipment routes with measurable performance goals. The final report received positive feedback.",phrase_level_rewrite,1.0,True
"A university research group released a green space project after careful review. The research team reviewed the regulatory submission while preserving the budget, and The training team redesigned a white paper with expert guidance. The team achieved a strong outcome.","A university research group released a green space project after careful review. The research team reviewed the regulatory submission while preserving the budget, and The training team redesigned a white paper with expert guidance. The team achieved a strong outcome.",human_like_rewrite,1.0,True
"The operations staff presented a white paper with reliable tracking systems. The outreach team introduced a leadership seminar to enhance public trust, and The logistics provider introduced a fundraiser with minimal disruption. This approach set a new standard.","The operations personnel presented a white paper with reliable tracking systems. The outreach team introduced a leadership seminar to enhance public trust, and The logistics provider introduced a fundraiser with minimal disruption. This approach set a new standard.",formal_rewrite,0.08,True
"During the regulatory audit, The construction crew coordinated a software update with expert guidance. The operations staff presented an application upgrade using local resources. The outcome exceeded expectations.","The operations staff presented an application upgrade using local resources. The outcome exceeded expectations. During the regulatory audit, The construction crew coordinated a software update with expert guidance.",sentence_reorder,0.519,True
"The legal team maintained electric vehicles while meeting compliance standards. The facilities team maintained a fundraiser with reliable tracking systems, and The nonprofit presented the storefront layout through an inclusive planning process. The final report received positive feedback.","The legal team maintained electric vehicles while meeting compliance standards. The facilities team maintained a fundraiser with reliable tracking systems, and The nonprofit presented the storefront layout through an inclusive planning process. The final report received positive feedback.",paragraph_pronoun_change,1.0,True
The nonprofit maintained the acquisition documents with minimal disruption. The hotel manager coordinated a research study with reliable tracking systems. The effort strengthened long-term relationships.,The nonprofit maintained the acquisition documents with minimal disruption. The property manager coordinated a research study with reliable tracking systems. The effort strengthened long-term relationships.,phrase_level_rewrite,0.968,True
"The The city council prepared a major report through an inclusive planning process, and The retail team prepared a wellness program with an expanded support network. The effort strengthened long-term relationships.","The The city council prepared a major report through an inclusive planning process, and The retail team prepared a wellness program with an expanded support network. The effort strengthened long-term relationships.",human_like_rewrite,1.0,True
The bank optimized a new campaign with measurable performance goals. The logistics provider emphasized a clinical trial to improve operational efficiency. The initiative delivered measurable benefits.,The bank optimized a new campaign with measurable performance objectives. The logistics provider emphasized a clinical trial to improve operational efficiency. The initiative delivered measurable benefits.,formal_rewrite,0.968,True
A university research group introduced a seasonal menu with an expanded support network. The facilities team emphasized a new campaign to improve customer satisfaction. This approach set a new standard.,The facilities team emphasized a new campaign to improve customer satisfaction. This approach set a new standard. A university research group introduced a seasonal menu with an expanded support network.,sentence_reorder,0.436,True
"The The service crew tested the storefront layout to improve operational efficiency, and The operations staff organized a leadership seminar with sustainability goals. The effort strengthened long-term relationships.","The The service crew tested the storefront layout to improve operational efficiency, and The operations staff organized a leadership seminar with sustainability goals. The effort strengthened long-term relationships.",paragraph_pronoun_change,1.0,True
